time,request,status,bytes
2015-05-17 11:05:03,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 11:05:28,GET /images/jordan-80.png HTTP/1.1,200,6146
2015-05-17 11:05:07,GET /images/web/2009/banner.png HTTP/1.1,200,52315
2015-05-17 11:05:58,GET /blog/tags/bdb HTTP/1.1,200,23099
2015-05-17 11:05:31,GET /?flav=atom HTTP/1.1,200,32352
2015-05-17 11:05:14,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 11:05:02,GET /blog/tags/puppet?flav=rss20 HTTP/1.1,200,14872
2015-05-17 11:05:26,GET /blog/rants/fedora-yum.html HTTP/1.1,200,8328
2015-05-17 11:05:32,GET /blog/tags/grok HTTP/1.1,200,30346
2015-05-17 11:05:12,GET /blog/tags/is%20it%20done%20yet HTTP/1.1,200,10544
2015-05-17 11:05:07,GET /blog/tags/statistics HTTP/1.1,200,29706
2015-05-17 11:05:50,GET /favicon.ico HTTP/1.1,200,3638
2015-05-17 11:05:05,GET /blog/tags/subversion HTTP/1.1,200,12557
2015-05-17 11:05:52,GET /blog/web/194.html HTTP/1.1,200,8251
2015-05-17 11:05:23,GET /files/blogposts/20070901/?C=D;O=A HTTP/1.1,200,980
2015-05-17 11:05:15,GET /files/blogposts/20080109/boost_xpressive_test.cpp HTTP/1.1,200,1533
2015-05-17 11:05:38,GET /files/blogposts/20090520/ HTTP/1.1,200,966
2015-05-17 11:05:41,GET /files/fastsplit/?C=M;O=D HTTP/1.1,200,958
2015-05-17 11:05:19,GET /files/xdotool/docs/man/?C=M;O=D HTTP/1.1,200,959
2015-05-17 11:05:16,GET /scripts/python/wrap/?C=N;O=D HTTP/1.1,200,2631
2015-05-17 11:05:32,GET /files/images/?C=S;O=D HTTP/1.1,200,944
2015-05-17 11:05:00,GET /files/blogposts/20080611/ HTTP/1.1,200,1175
2015-05-17 11:05:16,GET /files/logstash/?C=D;O=D HTTP/1.1,200,13316
2015-05-17 11:05:53,GET /presentations/hackday06/ HTTP/1.1,200,6719
2015-05-17 11:05:29,GET /scripts/grok-py-test/ HTTP/1.1,200,2362
2015-05-17 11:05:08,GET /?N=A&page=21 HTTP/1.1,200,33514
2015-05-17 11:05:49,GET /blog/geekery/oniguruma-named-capture-example.html?commentlimit=0 HTTP/1.1,200,9208
2015-05-17 11:05:01,GET /blog/geekery/ssh-key-invalid-hack.html?commentlimit=0 HTTP/1.1,200,9335
2015-05-17 11:05:31,GET /blog/geekery/server-side-javascript.html HTTP/1.1,200,8587
2015-05-17 11:05:15,GET /blog/geekery/yahoo-hackday-08.html HTTP/1.1,200,9882
2015-05-17 11:05:01,GET /images/googledotcom.png HTTP/1.1,200,65748
2015-05-17 11:05:19,GET /blog HTTP/1.1,200,37936
2015-05-17 11:05:03,GET /articles/ssh-security/ HTTP/1.1,200,16543
2015-05-17 11:05:45,GET /blog/tags/X11 HTTP/1.1,200,32742
